,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
191,8,1500,selu,0.15,sgd,-0.19914373977057176
35,2,1500,selu,0.2,sgd,-0.19962947902698233
111,4,1500,selu,0.15,sgd,-0.19969144176541428
107,4,1500,selu,0.1,sgd,-0.1999521578194318
27,2,1500,selu,0.1,sgd,-0.2011749100946046
195,8,1500,selu,0.2,sgd,-0.20163305199012893
119,4,1500,selu,0.25,sgd,-0.20211990416450443
199,8,1500,selu,0.25,sgd,-0.20242496122295822
341,32,1500,selu,0.05,adamax,-0.20258854280152067
39,2,1500,selu,0.25,sgd,-0.20288083192588263
115,4,1500,selu,0.2,sgd,-0.20294956273689935
181,8,1500,selu,0.05,adamax,-0.20298759242904008
55,2,1500,elu,0.2,sgd,-0.20340041719973806
372,32,1500,elu,0.2,adam,-0.20449678583120126
261,16,1500,selu,0.05,adamax,-0.2046451020421136
281,16,1500,elu,0.05,adamax,-0.20490543444523926
103,4,1500,selu,0.05,sgd,-0.2050312018772802
362,32,1500,elu,0.05,rmsprop,-0.20509978895931813
141,4,1500,softplus,0.05,adamax,-0.2052204553515508
340,32,1500,selu,0.05,adam,-0.2054835740739248
59,2,1500,elu,0.25,sgd,-0.20549374011111737
236,8,1500,softplus,0.25,adam,-0.2056687510300279
31,2,1500,selu,0.15,sgd,-0.20589616969143465
274,16,1500,selu,0.2,rmsprop,-0.20603196949488645
361,32,1500,elu,0.05,adamax,-0.20608226600312657
213,8,1500,elu,0.2,adamax,-0.20608245919358215
360,32,1500,elu,0.05,adam,-0.2060934099446173
183,8,1500,selu,0.05,sgd,-0.20620072367201542
376,32,1500,elu,0.25,adam,-0.2062119715443546
197,8,1500,selu,0.25,adamax,-0.20629263087093141
348,32,1500,selu,0.15,adam,-0.20634615743475715
370,32,1500,elu,0.15,rmsprop,-0.20648955665161267
265,16,1500,selu,0.1,adamax,-0.2065081949461569
352,32,1500,selu,0.2,adam,-0.20653641933743827
43,2,1500,elu,0.05,sgd,-0.20660948664016543
345,32,1500,selu,0.1,adamax,-0.2068579216530564
349,32,1500,selu,0.15,adamax,-0.20689352306187186
217,8,1500,elu,0.25,adamax,-0.20692289695498484
185,8,1500,selu,0.1,adamax,-0.2069299886790068
296,16,1500,elu,0.25,adam,-0.20700003291534386
187,8,1500,selu,0.1,sgd,-0.20700473108391163
282,16,1500,elu,0.05,rmsprop,-0.20706222559768073
353,32,1500,selu,0.2,adamax,-0.20710247277016297
201,8,1500,elu,0.05,adamax,-0.20744053857226705
23,2,1500,selu,0.05,sgd,-0.20756862843863777
280,16,1500,elu,0.05,adam,-0.20758510178020287
90,4,1500,relu,0.15,rmsprop,-0.2076722270466162
138,4,1500,elu,0.25,rmsprop,-0.20771150713058817
366,32,1500,elu,0.1,rmsprop,-0.20771807948905563
218,8,1500,elu,0.25,rmsprop,-0.207752369024176
290,16,1500,elu,0.15,rmsprop,-0.20782404568892077
284,16,1500,elu,0.1,adam,-0.20787112354929727
292,16,1500,elu,0.2,adam,-0.20791744011774566
286,16,1500,elu,0.1,rmsprop,-0.2079775942646293
338,32,1500,relu,0.25,rmsprop,-0.2079834572829573
258,16,1500,relu,0.25,rmsprop,-0.2080368528653428
210,8,1500,elu,0.15,rmsprop,-0.20817790850496853
298,16,1500,elu,0.25,rmsprop,-0.20825163844973696
148,4,1500,softplus,0.15,adam,-0.20838238751617402
129,4,1500,elu,0.15,adamax,-0.20838759898016274
209,8,1500,elu,0.15,adamax,-0.20847856129771236
125,4,1500,elu,0.1,adamax,-0.2085005601180448
216,8,1500,elu,0.25,adam,-0.20853951153354333
288,16,1500,elu,0.15,adam,-0.20856305348775
368,32,1500,elu,0.15,adam,-0.2086678219509333
121,4,1500,elu,0.05,adamax,-0.20867583610339252
374,32,1500,elu,0.2,rmsprop,-0.20883294613558384
364,32,1500,elu,0.1,adam,-0.20885086885100224
294,16,1500,elu,0.2,rmsprop,-0.20887751465890753
205,8,1500,elu,0.1,adamax,-0.20892759549622825
57,2,1500,elu,0.25,adamax,-0.20905583174099407
262,16,1500,selu,0.05,rmsprop,-0.2090719912029867
346,32,1500,selu,0.1,rmsprop,-0.20911260473868093
93,4,1500,relu,0.2,adamax,-0.2091390904944277
297,16,1500,elu,0.25,adamax,-0.20914033377364602
214,8,1500,elu,0.2,rmsprop,-0.20922346077066664
285,16,1500,elu,0.1,adamax,-0.20922442245823528
202,8,1500,elu,0.05,rmsprop,-0.20930763159426188
222,8,1500,softplus,0.05,rmsprop,-0.20935033157425004
206,8,1500,elu,0.1,rmsprop,-0.20942169122996637
273,16,1500,selu,0.2,adamax,-0.2095369469737379
130,4,1500,elu,0.15,rmsprop,-0.2097716896314925
358,32,1500,selu,0.25,rmsprop,-0.20981211269234218
357,32,1500,selu,0.25,adamax,-0.2098227506898763
126,4,1500,elu,0.1,rmsprop,-0.20982809496775723
137,4,1500,elu,0.25,adamax,-0.21001606205179899
378,32,1500,elu,0.25,rmsprop,-0.21002957263690114
51,2,1500,elu,0.15,sgd,-0.21006487979646132
94,4,1500,relu,0.2,rmsprop,-0.21013924960263927
47,2,1500,elu,0.1,sgd,-0.2101405232729989
250,16,1500,relu,0.15,rmsprop,-0.21041408301009779
49,2,1500,elu,0.15,adamax,-0.21044575581175606
133,4,1500,elu,0.2,adamax,-0.2104807452411916
342,32,1500,selu,0.05,rmsprop,-0.21058597654008993
350,32,1500,selu,0.15,rmsprop,-0.210715123129041
41,2,1500,elu,0.05,adamax,-0.21074015902813448
330,32,1500,relu,0.15,rmsprop,-0.21075684202918069
365,32,1500,elu,0.1,adamax,-0.2107711543968755
134,4,1500,elu,0.2,rmsprop,-0.21097915833522618
308,16,1500,softplus,0.15,adam,-0.21103132135212818
142,4,1500,softplus,0.05,rmsprop,-0.21114037946932307
224,8,1500,softplus,0.1,adam,-0.2112429328328957
53,2,1500,elu,0.2,adamax,-0.2112515049918469
46,2,1500,elu,0.1,rmsprop,-0.21154844257488598
271,16,1500,selu,0.15,sgd,-0.21165154028155497
50,2,1500,elu,0.15,rmsprop,-0.21169345914950388
204,8,1500,elu,0.1,adam,-0.2117236447002066
45,2,1500,elu,0.1,adamax,-0.21175962792572908
334,32,1500,relu,0.2,rmsprop,-0.2117881517408177
257,16,1500,relu,0.25,adamax,-0.21180581600210827
42,2,1500,elu,0.05,rmsprop,-0.21184130183248107
122,4,1500,elu,0.05,rmsprop,-0.21185574621602915
369,32,1500,elu,0.15,adamax,-0.21191340984641224
221,8,1500,softplus,0.05,adamax,-0.21193659505702267
388,32,1500,softplus,0.15,adam,-0.21216230327440272
146,4,1500,softplus,0.1,rmsprop,-0.21226560121623728
269,16,1500,selu,0.15,adamax,-0.21239218536840326
278,16,1500,selu,0.25,rmsprop,-0.21249822571358734
13,2,1500,relu,0.2,adamax,-0.21252500129931237
289,16,1500,elu,0.15,adamax,-0.2128142402307279
58,2,1500,elu,0.25,rmsprop,-0.21282604225920604
174,8,1500,relu,0.2,rmsprop,-0.21295367666413106
54,2,1500,elu,0.2,rmsprop,-0.2129779577366575
354,32,1500,selu,0.2,rmsprop,-0.21349620870977185
309,16,1500,softplus,0.15,adamax,-0.21350247102398162
384,32,1500,softplus,0.1,adam,-0.2135334994943181
170,8,1500,relu,0.15,rmsprop,-0.21354689889126405
373,32,1500,elu,0.2,adamax,-0.2139814018810331
9,2,1500,relu,0.15,adamax,-0.21413536291787602
124,4,1500,elu,0.1,adam,-0.21420891361777605
300,16,1500,softplus,0.05,adam,-0.2146177423097571
228,8,1500,softplus,0.15,adam,-0.21469815526605288
85,4,1500,relu,0.1,adamax,-0.21491673170114717
293,16,1500,elu,0.2,adamax,-0.21494685520582188
17,2,1500,relu,0.25,adamax,-0.21497246177309992
277,16,1500,selu,0.25,adamax,-0.21546928730375361
132,4,1500,elu,0.2,adam,-0.21556408812022027
212,8,1500,elu,0.2,adam,-0.2156212802606356
109,4,1500,selu,0.15,adamax,-0.2160819434301319
263,16,1500,selu,0.05,sgd,-0.2161677269299658
266,16,1500,selu,0.1,rmsprop,-0.21637124021839527
62,2,1500,softplus,0.05,rmsprop,-0.21640339181305684
97,4,1500,relu,0.25,adamax,-0.2164324703365781
275,16,1500,selu,0.2,sgd,-0.2168040004469876
377,32,1500,elu,0.25,adamax,-0.21747053984930526
267,16,1500,selu,0.1,sgd,-0.21765154672586895
128,4,1500,elu,0.15,adam,-0.21779451064098115
302,16,1500,softplus,0.05,rmsprop,-0.21791290170054967
120,4,1500,elu,0.05,adam,-0.21799502851115726
233,8,1500,softplus,0.2,adamax,-0.21805686961346749
166,8,1500,relu,0.1,rmsprop,-0.218241414361812
260,16,1500,selu,0.05,adam,-0.21826773143185868
270,16,1500,selu,0.15,rmsprop,-0.21837846936081073
208,8,1500,elu,0.15,adam,-0.2184162932123086
190,8,1500,selu,0.15,rmsprop,-0.21846647947088368
380,32,1500,softplus,0.05,adam,-0.21853826098319123
165,8,1500,relu,0.1,adamax,-0.21866408318818478
344,32,1500,selu,0.1,adam,-0.21868997072495883
301,16,1500,softplus,0.05,adamax,-0.2189916571458731
322,32,1500,relu,0.05,rmsprop,-0.2190799620368369
69,2,1500,softplus,0.15,adamax,-0.21909121718929833
279,16,1500,selu,0.25,sgd,-0.21915319066045952
30,2,1500,selu,0.15,rmsprop,-0.2197007785599327
382,32,1500,softplus,0.05,rmsprop,-0.21972079420024165
200,8,1500,elu,0.05,adam,-0.21973381247866383
310,16,1500,softplus,0.15,rmsprop,-0.2199212089681838
312,16,1500,softplus,0.2,adam,-0.21992177286638134
113,4,1500,selu,0.2,adamax,-0.22050168918691357
117,4,1500,selu,0.25,adamax,-0.2205226546106459
246,16,1500,relu,0.1,rmsprop,-0.22055637250185686
356,32,1500,selu,0.25,adam,-0.22070730216278403
105,4,1500,selu,0.1,adamax,-0.2209262456602139
61,2,1500,softplus,0.05,adamax,-0.22142003545242417
65,2,1500,softplus,0.1,adamax,-0.22195061064477983
189,8,1500,selu,0.15,adamax,-0.22221040919064605
268,16,1500,selu,0.15,adam,-0.2223358613080758
66,2,1500,softplus,0.1,rmsprop,-0.22260159061708867
70,2,1500,softplus,0.15,rmsprop,-0.22308540187709303
14,2,1500,relu,0.2,rmsprop,-0.22342992164045894
316,16,1500,softplus,0.25,adam,-0.223499540705587
229,8,1500,softplus,0.15,adamax,-0.22349967491659473
68,2,1500,softplus,0.15,adam,-0.22386392803384492
392,32,1500,softplus,0.2,adam,-0.22391401242968587
230,8,1500,softplus,0.15,rmsprop,-0.22451028382198712
276,16,1500,selu,0.25,adam,-0.22459019957271806
101,4,1500,selu,0.05,adamax,-0.2246886103834269
381,32,1500,softplus,0.05,adamax,-0.22484302959032992
305,16,1500,softplus,0.1,adamax,-0.22500283652882622
145,4,1500,softplus,0.1,adamax,-0.2251865909770166
193,8,1500,selu,0.2,adamax,-0.2257725701367898
225,8,1500,softplus,0.1,adamax,-0.22605834941493141
317,16,1500,softplus,0.25,adamax,-0.2261248804636012
25,2,1500,selu,0.1,adamax,-0.22637263737500493
198,8,1500,selu,0.25,rmsprop,-0.22656259308305926
169,8,1500,relu,0.15,adamax,-0.22660583599653963
74,2,1500,softplus,0.2,rmsprop,-0.22661764447884541
154,4,1500,softplus,0.2,rmsprop,-0.2266404709612899
304,16,1500,softplus,0.1,adam,-0.22680377836286034
73,2,1500,softplus,0.2,adamax,-0.22690409875440948
72,2,1500,softplus,0.2,adam,-0.22729410976993603
177,8,1500,relu,0.25,adamax,-0.22731393303993824
226,8,1500,softplus,0.1,rmsprop,-0.22736248801895514
149,4,1500,softplus,0.15,adamax,-0.22761572824536436
186,8,1500,selu,0.1,rmsprop,-0.22786550723988375
152,4,1500,softplus,0.2,adam,-0.22786650577733314
178,8,1500,relu,0.25,rmsprop,-0.22793895728464747
254,16,1500,relu,0.2,rmsprop,-0.22803550629392816
347,32,1500,selu,0.1,sgd,-0.22874356310764737
182,8,1500,selu,0.05,rmsprop,-0.2293889182109467
136,4,1500,elu,0.25,adam,-0.22966389304823334
78,2,1500,softplus,0.25,rmsprop,-0.22976870951450357
234,8,1500,softplus,0.2,rmsprop,-0.22977518032546562
386,32,1500,softplus,0.1,rmsprop,-0.22980147544233817
253,16,1500,relu,0.2,adamax,-0.23021691515795445
306,16,1500,softplus,0.1,rmsprop,-0.23090319382750232
343,32,1500,selu,0.05,sgd,-0.2309777701841434
359,32,1500,selu,0.25,sgd,-0.23157017601008573
3,2,1500,relu,0.05,sgd,-0.2317080612188392
232,8,1500,softplus,0.2,adam,-0.2318121203195326
158,4,1500,softplus,0.25,rmsprop,-0.23186496479356333
355,32,1500,selu,0.2,sgd,-0.23189008638366626
11,2,1500,relu,0.15,sgd,-0.23213402752371168
153,4,1500,softplus,0.2,adamax,-0.23217057152061
96,4,1500,relu,0.25,adam,-0.23267254005061344
98,4,1500,relu,0.25,rmsprop,-0.23271896340061154
77,2,1500,softplus,0.25,adamax,-0.2328468761641413
326,32,1500,relu,0.1,rmsprop,-0.23305235610860336
385,32,1500,softplus,0.1,adamax,-0.23317077291706828
314,16,1500,softplus,0.2,rmsprop,-0.23329347881168422
156,4,1500,softplus,0.25,adam,-0.23344453305551238
173,8,1500,relu,0.2,adamax,-0.23347740864789202
2,2,1500,relu,0.05,rmsprop,-0.23350621515897213
272,16,1500,selu,0.2,adam,-0.23399661258186377
238,8,1500,softplus,0.25,rmsprop,-0.23437135144148508
76,2,1500,softplus,0.25,adam,-0.2344706590943575
5,2,1500,relu,0.1,adamax,-0.23505249837887288
106,4,1500,selu,0.1,rmsprop,-0.23507445449456088
18,2,1500,relu,0.25,rmsprop,-0.23537713485751205
110,4,1500,selu,0.15,rmsprop,-0.23543589781464894
389,32,1500,softplus,0.15,adamax,-0.2361102497793844
157,4,1500,softplus,0.25,adamax,-0.2366245912821109
22,2,1500,selu,0.05,rmsprop,-0.2367657843810178
390,32,1500,softplus,0.15,rmsprop,-0.23752258693699568
80,4,1500,relu,0.05,adam,-0.2376011328107564
194,8,1500,selu,0.2,rmsprop,-0.23785804062065835
8,2,1500,relu,0.15,adam,-0.2382028233489848
313,16,1500,softplus,0.2,adamax,-0.23829579355653446
15,2,1500,relu,0.2,sgd,-0.23868073957038277
116,4,1500,selu,0.25,adam,-0.23872315345870665
351,32,1500,selu,0.15,sgd,-0.23879266931319934
337,32,1500,relu,0.25,adamax,-0.23942580298608152
318,16,1500,softplus,0.25,rmsprop,-0.23952308432938507
393,32,1500,softplus,0.2,adamax,-0.23960775887213018
162,8,1500,relu,0.05,rmsprop,-0.24021462566622453
172,8,1500,relu,0.2,adam,-0.24078162289120236
245,16,1500,relu,0.1,adamax,-0.24182938525912917
6,2,1500,relu,0.1,rmsprop,-0.24232018335024497
114,4,1500,selu,0.2,rmsprop,-0.24234761693615953
139,4,1500,elu,0.25,sgd,-0.24282561259812302
394,32,1500,softplus,0.2,rmsprop,-0.24397712808466726
86,4,1500,relu,0.1,rmsprop,-0.24410243067734333
38,2,1500,selu,0.25,rmsprop,-0.2442386203998081
396,32,1500,softplus,0.25,adam,-0.2445124680262442
1,2,1500,relu,0.05,adamax,-0.2445446587510092
398,32,1500,softplus,0.25,rmsprop,-0.2449583131181079
131,4,1500,elu,0.15,sgd,-0.24506006647780165
88,4,1500,relu,0.15,adam,-0.24523557076975905
237,8,1500,softplus,0.25,adamax,-0.24599852026134938
100,4,1500,selu,0.05,adam,-0.24610228428936412
60,2,1500,softplus,0.05,adam,-0.24617429485443082
92,4,1500,relu,0.2,adam,-0.24634518832968916
89,4,1500,relu,0.15,adamax,-0.2463803385895348
4,2,1500,relu,0.1,adam,-0.246634073604993
16,2,1500,relu,0.25,adam,-0.24741588856738742
333,32,1500,relu,0.2,adamax,-0.24816510747437678
33,2,1500,selu,0.2,adamax,-0.24855262086839933
180,8,1500,selu,0.05,adam,-0.24856300875841547
56,2,1500,elu,0.25,adam,-0.2486905918094324
135,4,1500,elu,0.2,sgd,-0.2487010906691024
123,4,1500,elu,0.05,sgd,-0.24893773778803557
10,2,1500,relu,0.15,rmsprop,-0.2505605321432608
150,4,1500,softplus,0.15,rmsprop,-0.25079947747188774
399,32,1500,softplus,0.25,sgd,-0.25210506932743165
184,8,1500,selu,0.1,adam,-0.25234089275577987
140,4,1500,softplus,0.05,adam,-0.2524497090747614
397,32,1500,softplus,0.25,adamax,-0.25247510513481
303,16,1500,softplus,0.05,sgd,-0.25271154968486054
28,2,1500,selu,0.15,adam,-0.25326378649525305
319,16,1500,softplus,0.25,sgd,-0.25329213407610135
83,4,1500,relu,0.05,sgd,-0.2542829480392735
239,8,1500,softplus,0.25,sgd,-0.25433768074912894
231,8,1500,softplus,0.15,sgd,-0.25454599088183727
207,8,1500,elu,0.1,sgd,-0.2545751502857724
127,4,1500,elu,0.1,sgd,-0.25530783470849977
19,2,1500,relu,0.25,sgd,-0.2553975540005351
155,4,1500,softplus,0.2,sgd,-0.255864825593528
63,2,1500,softplus,0.05,sgd,-0.25604850553261516
219,8,1500,elu,0.25,sgd,-0.2563057533880083
91,4,1500,relu,0.15,sgd,-0.25644206522152463
315,16,1500,softplus,0.2,sgd,-0.2568340193946337
95,4,1500,relu,0.2,sgd,-0.256840630246871
29,2,1500,selu,0.15,adamax,-0.2569141076051529
235,8,1500,softplus,0.2,sgd,-0.2569349583008354
48,2,1500,elu,0.15,adam,-0.25698469597611273
143,4,1500,softplus,0.05,sgd,-0.2570166147733106
87,4,1500,relu,0.1,sgd,-0.25702859971445513
383,32,1500,softplus,0.05,sgd,-0.25726767633928693
151,4,1500,softplus,0.15,sgd,-0.2574275922595231
227,8,1500,softplus,0.1,sgd,-0.2577172719064965
159,4,1500,softplus,0.25,sgd,-0.25781905317035936
64,2,1500,softplus,0.1,adam,-0.25787158298687624
171,8,1500,relu,0.15,sgd,-0.25794758513829924
71,2,1500,softplus,0.15,sgd,-0.25799378906902615
211,8,1500,elu,0.15,sgd,-0.2580424521684612
12,2,1500,relu,0.2,adam,-0.2581000502818288
299,16,1500,elu,0.25,sgd,-0.2581967603485107
99,4,1500,relu,0.25,sgd,-0.25827794383809805
251,16,1500,relu,0.15,sgd,-0.25858611631870276
7,2,1500,relu,0.1,sgd,-0.25860571476379024
287,16,1500,elu,0.1,sgd,-0.25860607017767173
67,2,1500,softplus,0.1,sgd,-0.2586286381990927
44,2,1500,elu,0.1,adam,-0.25869873378293207
175,8,1500,relu,0.2,sgd,-0.2588471665003296
283,16,1500,elu,0.05,sgd,-0.2590367571257256
147,4,1500,softplus,0.1,sgd,-0.2590997272559039
163,8,1500,relu,0.05,sgd,-0.25911902620704036
255,16,1500,relu,0.2,sgd,-0.25913014013078794
387,32,1500,softplus,0.1,sgd,-0.25931316161559215
79,2,1500,softplus,0.25,sgd,-0.25932788959194686
295,16,1500,elu,0.2,sgd,-0.2593731198100977
335,32,1500,relu,0.2,sgd,-0.2594924330460494
167,8,1500,relu,0.1,sgd,-0.25952163910260884
259,16,1500,relu,0.25,sgd,-0.25953019759788054
82,4,1500,relu,0.05,rmsprop,-0.25955344244331074
179,8,1500,relu,0.25,sgd,-0.2595621511358395
379,32,1500,elu,0.25,sgd,-0.2595893627162609
363,32,1500,elu,0.05,sgd,-0.2596766337511766
323,32,1500,relu,0.05,sgd,-0.2597261742833667
375,32,1500,elu,0.2,sgd,-0.2597726125452776
339,32,1500,relu,0.25,sgd,-0.2597891365846327
223,8,1500,softplus,0.05,sgd,-0.25986346217281603
327,32,1500,relu,0.1,sgd,-0.25994745633352473
367,32,1500,elu,0.1,sgd,-0.2599755235386233
307,16,1500,softplus,0.1,sgd,-0.2600740405188656
203,8,1500,elu,0.05,sgd,-0.2602461644104582
242,16,1500,relu,0.05,rmsprop,-0.26031668374193273
331,32,1500,relu,0.15,sgd,-0.26033496069591255
371,32,1500,elu,0.15,sgd,-0.2604624659796593
291,16,1500,elu,0.15,sgd,-0.26054008248938965
243,16,1500,relu,0.05,sgd,-0.2608320450303574
311,16,1500,softplus,0.15,sgd,-0.26086081135040506
215,8,1500,elu,0.2,sgd,-0.26113282451504555
247,16,1500,relu,0.1,sgd,-0.2612865211895782
391,32,1500,softplus,0.15,sgd,-0.2620840279722313
395,32,1500,softplus,0.2,sgd,-0.2627493612257299
75,2,1500,softplus,0.2,sgd,-0.26314157323286175
118,4,1500,selu,0.25,rmsprop,-0.2649980577489203
36,2,1500,selu,0.25,adam,-0.2670833849340228
144,4,1500,softplus,0.1,adam,-0.26994654465720613
21,2,1500,selu,0.05,adamax,-0.2713778646799705
37,2,1500,selu,0.25,adamax,-0.2721700318116915
34,2,1500,selu,0.2,rmsprop,-0.273196326184603
26,2,1500,selu,0.1,rmsprop,-0.2741005343294719
52,2,1500,elu,0.2,adam,-0.27466667985396576
40,2,1500,elu,0.05,adam,-0.27543097708145137
220,8,1500,softplus,0.05,adam,-0.27711948244759166
325,32,1500,relu,0.1,adamax,-0.2800171275275776
168,8,1500,relu,0.15,adam,-0.28192220625146813
20,2,1500,selu,0.05,adam,-0.2819495245599344
329,32,1500,relu,0.15,adamax,-0.28542908790859645
188,8,1500,selu,0.15,adam,-0.2916938146290393
24,2,1500,selu,0.1,adam,-0.2943051093199041
176,8,1500,relu,0.25,adam,-0.29897792184741007
264,16,1500,selu,0.1,adam,-0.30180660628997147
102,4,1500,selu,0.05,rmsprop,-0.30405853193853427
0,2,1500,relu,0.05,adam,-0.3147137928258094
249,16,1500,relu,0.15,adamax,-0.3151326439681587
256,16,1500,relu,0.25,adam,-0.3200639389728037
112,4,1500,selu,0.2,adam,-0.3300382210025026
108,4,1500,selu,0.15,adam,-0.3309234009574849
192,8,1500,selu,0.2,adam,-0.3328915044567875
328,32,1500,relu,0.15,adam,-0.3495487995711864
104,4,1500,selu,0.1,adam,-0.38590546828675076
196,8,1500,selu,0.25,adam,-0.388568888894236
164,8,1500,relu,0.1,adam,-0.39728106755425024
84,4,1500,relu,0.1,adam,-0.4135558728862654
321,32,1500,relu,0.05,adamax,-0.41655710474383195
32,2,1500,selu,0.2,adam,-0.4218521780707325
160,8,1500,relu,0.05,adam,-0.48335262772795873
161,8,1500,relu,0.05,adamax,-0.5126205144978765
244,16,1500,relu,0.1,adam,-0.5187571219093396
241,16,1500,relu,0.05,adamax,-0.5747311246602211
336,32,1500,relu,0.25,adam,-0.618554680708698
252,16,1500,relu,0.2,adam,-0.6794715012657151
81,4,1500,relu,0.05,adamax,-0.6865478249095228
332,32,1500,relu,0.2,adam,-0.7695151221952742
324,32,1500,relu,0.1,adam,-0.7889190605864652
248,16,1500,relu,0.15,adam,-0.8059251862461055
240,16,1500,relu,0.05,adam,-0.8477846360615624
320,32,1500,relu,0.05,adam,-1.4444135738534987
