batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
4,1500,selu,0.1,sgd,-0.1916246119867132
4,1500,selu,0.05,sgd,-0.19204333474390178
4,1500,selu,0.2,sgd,-0.19244292296598828
4,1500,selu,0.25,sgd,-0.19271300646617523
32,1500,selu,0.05,adamax,-0.1937617103437989
32,1500,elu,0.25,rmsprop,-0.1946061403364467
32,1500,elu,0.1,adam,-0.19478767906588423
4,1500,elu,0.25,adamax,-0.1949484299832056
8,1500,elu,0.25,adamax,-0.1954741103675177
8,1500,selu,0.2,sgd,-0.19640903048573788
4,1500,selu,0.15,sgd,-0.19643966641888438
32,1500,elu,0.05,rmsprop,-0.19674494525724584
32,1500,selu,0.1,adamax,-0.1968578064325493
8,1500,elu,0.2,adamax,-0.19710455785011513
16,1500,elu,0.2,rmsprop,-0.1974491713283683
2,1500,selu,0.25,sgd,-0.19749969195792647
32,1500,elu,0.1,rmsprop,-0.19752361497366167
8,1500,elu,0.15,adamax,-0.19757196445855052
16,1500,elu,0.1,rmsprop,-0.19880398140671102
32,1500,elu,0.2,rmsprop,-0.19883243078173268
32,1500,elu,0.25,adam,-0.1992395877119016
8,1500,selu,0.25,sgd,-0.19937345227473444
32,1500,elu,0.15,rmsprop,-0.19947637809893484
32,1500,elu,0.05,adam,-0.19993291300959737
16,1500,elu,0.25,rmsprop,-0.20024005976069426
2,1500,elu,0.05,sgd,-0.20053545572436227
8,1500,elu,0.1,adamax,-0.2008392612750839
4,1500,softplus,0.05,adamax,-0.20122286758455415
32,1500,selu,0.15,adamax,-0.2018456850087969
32,1500,elu,0.15,adam,-0.2019463563621224
16,1500,elu,0.15,rmsprop,-0.20207683191019266
4,1500,elu,0.2,adamax,-0.2024613582195576
16,1500,elu,0.05,rmsprop,-0.20251854935598795
4,1500,elu,0.1,adamax,-0.20255879534715182
4,1500,elu,0.15,adamax,-0.20298295559581975
16,1500,elu,0.05,adamax,-0.20324990988930508
4,1500,elu,0.05,adamax,-0.20330842957171294
8,1500,elu,0.05,adamax,-0.2036176839779077
8,1500,selu,0.15,sgd,-0.20384177546869472
16,1500,elu,0.15,adamax,-0.20448783067947784
16,1500,elu,0.1,adamax,-0.20471804309229225
32,1500,selu,0.2,adamax,-0.20484443891579843
32,1500,elu,0.05,adamax,-0.20484493177040342
16,1500,elu,0.05,adam,-0.20491245471966532
2,1500,elu,0.2,sgd,-0.20493394504801885
2,1500,elu,0.25,sgd,-0.20516898564552416
8,1500,softplus,0.1,adamax,-0.20537724991010067
16,1500,elu,0.2,adamax,-0.20684433445318232
16,1500,elu,0.1,adam,-0.20694917275150448
32,1500,elu,0.1,adamax,-0.20784174850207815
8,1500,softplus,0.05,adamax,-0.20804810768132448
8,1500,selu,0.05,sgd,-0.20848142699809097
32,1500,selu,0.25,adamax,-0.20861160682880822
8,1500,selu,0.05,adamax,-0.20871013548811884
2,1500,selu,0.15,sgd,-0.2094211434398316
8,1500,softplus,0.15,adamax,-0.20974841694481278
32,1500,elu,0.15,adamax,-0.20976751295506005
4,1500,selu,0.1,adam,-0.21033703671228546
4,1500,softplus,0.15,adamax,-0.21074782018636737
16,1500,softplus,0.05,adam,-0.2109015538766429
16,1500,softplus,0.25,adamax,-0.2113307606995656
32,1500,softplus,0.05,adam,-0.21140267296859308
16,1500,elu,0.25,adamax,-0.21213830900493086
2,1500,elu,0.15,sgd,-0.2123712714010298
2,1500,selu,0.1,sgd,-0.21247191812777705
32,1500,elu,0.25,adamax,-0.21330411025610238
8,1500,softplus,0.15,rmsprop,-0.21357430652216697
32,1500,elu,0.2,adam,-0.21358291580232064
16,1500,softplus,0.05,adamax,-0.21365751713556647
16,1500,softplus,0.15,rmsprop,-0.21386198866897552
8,1500,selu,0.1,sgd,-0.21410248230416679
16,1500,softplus,0.1,adam,-0.21412190444450985
32,1500,softplus,0.05,rmsprop,-0.2146929669913452
2,1500,elu,0.25,adam,-0.21486007009213043
2,1500,softplus,0.05,rmsprop,-0.2149635528187574
16,1500,softplus,0.05,rmsprop,-0.21511196306513175
32,1500,elu,0.2,adamax,-0.215211759695642
16,1500,softplus,0.2,adamax,-0.2164434243259153
8,1500,softplus,0.2,adam,-0.21698889202748634
8,1500,softplus,0.05,rmsprop,-0.2182292197907169
16,1500,softplus,0.2,adam,-0.21846853584284687
16,1500,selu,0.1,adamax,-0.21898872439686162
2,1500,selu,0.2,adam,-0.21910403252679528
2,1500,selu,0.15,adam,-0.21937455944890477
2,1500,elu,0.1,sgd,-0.21949456326609407
4,1500,softplus,0.1,adamax,-0.219530968420049
4,1500,relu,0.1,adam,-0.21984601751452174
4,1500,softplus,0.1,adam,-0.21989859992198457
2,1500,softplus,0.15,adam,-0.22022889896931103
16,1500,selu,0.05,sgd,-0.22067742258144663
16,1500,relu,0.25,rmsprop,-0.22096767558806285
8,1500,relu,0.25,adamax,-0.22133279269448441
2,1500,selu,0.25,adam,-0.22153323884616327
2,1500,relu,0.1,adamax,-0.2219235443683713
2,1500,relu,0.2,adam,-0.22204504388198212
2,1500,relu,0.2,adamax,-0.2223385947452129
16,1500,selu,0.2,sgd,-0.22245025533798413
2,1500,softplus,0.1,rmsprop,-0.22254746936884645
32,1500,softplus,0.1,adamax,-0.22265484897131
2,1500,softplus,0.05,adamax,-0.22294446490560965
4,1500,softplus,0.1,rmsprop,-0.2229635089119541
2,1500,softplus,0.15,rmsprop,-0.22313424751535665
32,1500,relu,0.1,rmsprop,-0.22325712233442002
8,1500,softplus,0.15,adam,-0.22334173020367432
2,1500,relu,0.05,sgd,-0.2235081407425788
2,1500,softplus,0.1,adamax,-0.2237667656428677
4,1500,softplus,0.15,rmsprop,-0.22417776200302056
4,1500,relu,0.2,adamax,-0.22425704189751355
32,1500,softplus,0.05,adamax,-0.22439282642345526
16,1500,selu,0.1,sgd,-0.22443178466384128
8,1500,softplus,0.1,rmsprop,-0.2244559056450889
8,1500,relu,0.1,rmsprop,-0.22471689252398208
16,1500,selu,0.05,adamax,-0.22477359610661815
2,1500,relu,0.15,adam,-0.22477933853352955
16,1500,softplus,0.25,adam,-0.22478549709631593
4,1500,softplus,0.25,adamax,-0.22515306930419066
16,1500,relu,0.25,adamax,-0.22516557768564105
16,1500,relu,0.15,rmsprop,-0.2252618861470294
8,1500,relu,0.2,adam,-0.22543671124059905
2,1500,softplus,0.2,rmsprop,-0.22545020415576844
16,1500,selu,0.25,adamax,-0.22572774464297685
4,1500,softplus,0.2,rmsprop,-0.22584092432100028
16,1500,selu,0.25,sgd,-0.22587182429335873
8,1500,relu,0.05,adam,-0.22602903274883474
2,1500,softplus,0.2,adamax,-0.2260420566895756
2,1500,softplus,0.2,adam,-0.2261136188035353
16,1500,softplus,0.15,adamax,-0.22622714714909875
32,1500,softplus,0.25,adam,-0.2262326281240199
4,1500,selu,0.2,adam,-0.22632259687462308
8,1500,elu,0.05,rmsprop,-0.22687935090337868
2,1500,relu,0.25,adamax,-0.22696368081943621
16,1500,relu,0.2,adamax,-0.22717206281292496
2,1500,relu,0.05,adamax,-0.22717565532305212
16,1500,relu,0.1,rmsprop,-0.22719062629660666
2,1500,elu,0.2,adamax,-0.227270941174736
4,1500,selu,0.05,adam,-0.22753020332711799
32,1500,softplus,0.15,adam,-0.22776955295168982
2,1500,relu,0.05,rmsprop,-0.22786846032531338
2,1500,relu,0.1,sgd,-0.22801750382684938
16,1500,softplus,0.1,adamax,-0.2280828524052852
16,1500,softplus,0.1,rmsprop,-0.22815207567274454
4,1500,relu,0.25,rmsprop,-0.22825924957041854
16,1500,selu,0.15,sgd,-0.22855010721319727
8,1500,relu,0.25,rmsprop,-0.2286686308330852
32,1500,selu,0.2,sgd,-0.22882616050104287
16,1500,softplus,0.15,adam,-0.2288626534890984
2,1500,selu,0.1,adam,-0.22893855710752664
2,1500,elu,0.15,rmsprop,-0.22906733701796278
2,1500,elu,0.05,adamax,-0.22920637999529164
32,1500,relu,0.2,rmsprop,-0.22932085961101495
4,1500,relu,0.15,rmsprop,-0.22942462033734368
8,1500,relu,0.1,adam,-0.22950809939369377
4,1500,elu,0.05,sgd,-0.22965060240129592
4,1500,relu,0.2,rmsprop,-0.22970531806282787
4,1500,softplus,0.2,adam,-0.229832488979461
2,1500,elu,0.2,adam,-0.2300688196397404
2,1500,softplus,0.05,adam,-0.23032530895964776
4,1500,relu,0.15,adamax,-0.2308440680634809
2,1500,relu,0.15,rmsprop,-0.23088309189034084
2,1500,elu,0.15,adamax,-0.23093703215703798
4,1500,softplus,0.2,adamax,-0.23122491793461963
8,1500,relu,0.15,rmsprop,-0.23123455588471928
4,1500,softplus,0.25,rmsprop,-0.23166333226209276
32,1500,selu,0.1,sgd,-0.2317313204694152
2,1500,softplus,0.25,rmsprop,-0.23199698723538487
8,1500,relu,0.2,adamax,-0.23214937289765225
2,1500,selu,0.2,sgd,-0.23222871794611846
4,1500,relu,0.05,rmsprop,-0.2327265040147198
32,1500,selu,0.15,sgd,-0.2333870002539499
32,1500,softplus,0.15,adamax,-0.23417012403511833
2,1500,relu,0.2,rmsprop,-0.23427827383996422
4,1500,elu,0.2,sgd,-0.23428782407547322
4,1500,relu,0.25,adamax,-0.2343603131056839
32,1500,softplus,0.1,rmsprop,-0.23480348333307843
2,1500,softplus,0.25,adamax,-0.23485081308454936
8,1500,softplus,0.25,rmsprop,-0.2349212407643993
32,1500,selu,0.25,sgd,-0.23526254209089995
2,1500,relu,0.25,rmsprop,-0.2352909709457388
2,1500,elu,0.25,adamax,-0.23575493615470888
2,1500,softplus,0.15,adamax,-0.23616856917155343
32,1500,selu,0.05,sgd,-0.23671440779465627
32,1500,relu,0.25,rmsprop,-0.23682347844784385
2,1500,selu,0.05,sgd,-0.23683637528538043
2,1500,selu,0.05,adam,-0.23689349675950344
8,1500,softplus,0.05,adam,-0.23814664956135925
4,1500,selu,0.25,rmsprop,-0.23828352776834935
8,1500,selu,0.25,adam,-0.23856194387090965
8,1500,softplus,0.2,adamax,-0.23878262281658014
32,1500,softplus,0.15,rmsprop,-0.238862145429281
4,1500,relu,0.25,adam,-0.2388964539524252
4,1500,elu,0.25,rmsprop,-0.23906239773520171
2,1500,relu,0.15,adamax,-0.23915378598229642
32,1500,softplus,0.2,adamax,-0.23935372389969672
16,1500,relu,0.15,adamax,-0.23968337865349648
8,1500,selu,0.2,adam,-0.2397517392171727
8,1500,softplus,0.2,rmsprop,-0.2398785746776656
2,1500,relu,0.15,sgd,-0.23988816692878026
4,1500,relu,0.1,rmsprop,-0.23990931497583545
32,1500,softplus,0.2,rmsprop,-0.24005592642004903
8,1500,relu,0.05,rmsprop,-0.24027883925957286
2,1500,elu,0.2,rmsprop,-0.24084544494939986
16,1500,softplus,0.25,rmsprop,-0.2408825465144533
2,1500,elu,0.05,rmsprop,-0.24135869594431836
32,1500,relu,0.15,adam,-0.24229939397562697
16,1500,elu,0.15,adam,-0.24249291583380017
8,1500,selu,0.1,adam,-0.2426520527932267
8,1500,relu,0.2,rmsprop,-0.24288862771517986
2,1500,selu,0.1,rmsprop,-0.24313284649046607
32,1500,relu,0.25,adamax,-0.24314468226268832
32,1500,softplus,0.25,adamax,-0.2434793424864183
4,1500,elu,0.25,sgd,-0.2436848802542817
2,1500,relu,0.1,rmsprop,-0.24376670751510682
2,1500,relu,0.1,adam,-0.24377985755077924
8,1500,softplus,0.25,adamax,-0.24391314123045416
4,1500,elu,0.15,sgd,-0.24424523771040052
8,1500,elu,0.2,rmsprop,-0.24453152505721448
16,1500,elu,0.25,adam,-0.2448856468072393
2,1500,elu,0.25,rmsprop,-0.24489211157630852
2,1500,relu,0.05,adam,-0.24508041477052206
32,1500,softplus,0.25,rmsprop,-0.24515684155447398
4,1500,relu,0.15,adam,-0.24516994774574458
2,1500,elu,0.05,adam,-0.24519001565358983
16,1500,relu,0.2,rmsprop,-0.24536710793977357
32,1500,relu,0.1,adamax,-0.24566065500407205
4,1500,elu,0.1,sgd,-0.24595267052809244
16,1500,softplus,0.2,rmsprop,-0.2463144968769092
4,1500,softplus,0.15,adam,-0.24633762195307424
2,1500,elu,0.15,adam,-0.24669532150067597
2,1500,selu,0.2,rmsprop,-0.24670714324394383
8,1500,relu,0.15,adam,-0.24673142783130458
8,1500,selu,0.15,adam,-0.24707467054489268
2,1500,selu,0.15,rmsprop,-0.24734045937700205
4,1500,selu,0.25,adam,-0.2475751737867617
32,1500,selu,0.1,rmsprop,-0.24781157918600955
8,1500,elu,0.1,rmsprop,-0.24803806901211847
8,1500,softplus,0.1,adam,-0.24821156142991144
2,1500,relu,0.25,sgd,-0.24987542066097587
4,1500,softplus,0.05,rmsprop,-0.2502354475632423
16,1500,elu,0.2,adam,-0.2512083065102284
32,1500,softplus,0.2,adam,-0.251747056542166
8,1500,softplus,0.25,sgd,-0.25200532102257284
4,1500,softplus,0.25,adam,-0.25210629734104223
2,1500,relu,0.2,sgd,-0.2522566327665854
32,1500,softplus,0.25,sgd,-0.25263985097868324
2,1500,selu,0.25,rmsprop,-0.25364487081164144
4,1500,relu,0.05,sgd,-0.25364966656853744
8,1500,elu,0.1,sgd,-0.25396819406009485
2,1500,softplus,0.05,sgd,-0.25435999403416754
4,1500,softplus,0.2,sgd,-0.2543741928979459
8,1500,softplus,0.1,sgd,-0.2543795133291038
8,1500,softplus,0.15,sgd,-0.25487407937367224
4,1500,softplus,0.1,sgd,-0.25501240976075346
8,1500,softplus,0.05,sgd,-0.25516101001681135
4,1500,relu,0.2,sgd,-0.2554056415184445
8,1500,elu,0.05,sgd,-0.2556106412699812
32,1500,softplus,0.1,adam,-0.25562754503294194
2,1500,elu,0.1,rmsprop,-0.25590036468002497
4,1500,relu,0.1,sgd,-0.2559916497875151
8,1500,elu,0.25,rmsprop,-0.25681870849960786
4,1500,elu,0.15,adam,-0.2568237394506464
4,1500,elu,0.05,adam,-0.25690451585776813
16,1500,elu,0.2,sgd,-0.2569093133758792
16,1500,elu,0.15,sgd,-0.25701690581172526
8,1500,elu,0.15,sgd,-0.2570436114993944
4,1500,softplus,0.15,sgd,-0.2573067261963546
8,1500,elu,0.2,sgd,-0.25734861662521324
32,1500,relu,0.15,sgd,-0.2574430642870611
8,1500,selu,0.25,adamax,-0.2574997939499458
32,1500,softplus,0.15,sgd,-0.2577209509617101
8,1500,relu,0.1,sgd,-0.2579964211710145
32,1500,elu,0.05,sgd,-0.2582951208789308
2,1500,elu,0.1,adamax,-0.2584188756526057
16,1500,elu,0.05,sgd,-0.2586143987877072
32,1500,softplus,0.2,sgd,-0.2589169056988785
4,1500,elu,0.2,adam,-0.25911078746855176
16,1500,elu,0.1,sgd,-0.25911840055605645
32,1500,relu,0.05,sgd,-0.25915183161673766
8,1500,relu,0.2,sgd,-0.25918058831932284
32,1500,relu,0.2,adamax,-0.2592325859136528
4,1500,relu,0.25,sgd,-0.25934003326004024
8,1500,elu,0.25,sgd,-0.25934286409740603
8,1500,relu,0.25,sgd,-0.25934460193789977
32,1500,elu,0.15,sgd,-0.2593866399809707
16,1500,softplus,0.15,sgd,-0.2594786660191505
16,1500,relu,0.1,sgd,-0.2594826953136947
2,1500,softplus,0.1,sgd,-0.2594887795018242
16,1500,relu,0.15,sgd,-0.2595119130295416
8,1500,relu,0.05,sgd,-0.25964995121636203
16,1500,relu,0.25,sgd,-0.259710891226403
32,1500,elu,0.1,sgd,-0.25980156213520067
16,1500,relu,0.2,sgd,-0.25997418589170423
8,1500,relu,0.15,sgd,-0.2599865034597723
16,1500,elu,0.25,sgd,-0.26007473070797066
32,1500,elu,0.25,sgd,-0.2603295065301839
32,1500,relu,0.25,sgd,-0.2605335446498465
16,1500,relu,0.05,sgd,-0.26074103224570144
16,1500,softplus,0.2,sgd,-0.26084348530528545
4,1500,relu,0.15,sgd,-0.2610589939484189
4,1500,softplus,0.25,sgd,-0.26112450402717396
4,1500,elu,0.15,rmsprop,-0.2611540666115352
32,1500,softplus,0.05,sgd,-0.2611752069405089
8,1500,selu,0.1,rmsprop,-0.26124896574467554
32,1500,elu,0.2,sgd,-0.2613201531765389
32,1500,softplus,0.1,sgd,-0.26141513715485154
2,1500,softplus,0.2,sgd,-0.26143021199441435
4,1500,softplus,0.05,sgd,-0.2615114901838396
8,1500,softplus,0.2,sgd,-0.2616902005299475
32,1500,relu,0.2,sgd,-0.2620611149540973
2,1500,relu,0.25,adam,-0.2621091187101926
32,1500,relu,0.1,sgd,-0.2621454226146126
2,1500,softplus,0.25,sgd,-0.2622923552597739
16,1500,softplus,0.25,sgd,-0.2625909269697534
16,1500,softplus,0.05,sgd,-0.2629563744517003
2,1500,softplus,0.15,sgd,-0.2631330002420433
4,1500,elu,0.25,adam,-0.2648293235402259
8,1500,elu,0.15,rmsprop,-0.26488317378217136
16,1500,softplus,0.1,sgd,-0.26516811215722313
4,1500,elu,0.2,rmsprop,-0.26580610644521385
4,1500,selu,0.15,adam,-0.26860593453937565
8,1500,selu,0.05,rmsprop,-0.2687129279202649
32,1500,selu,0.2,rmsprop,-0.2690527081310909
4,1500,selu,0.05,rmsprop,-0.27028872354668376
8,1500,selu,0.15,adamax,-0.27052900003575125
16,1500,selu,0.15,adamax,-0.2710258658817849
32,1500,relu,0.05,rmsprop,-0.27196186437213177
8,1500,elu,0.2,adam,-0.27257149839228734
4,1500,elu,0.1,rmsprop,-0.2744394284742934
8,1500,selu,0.25,rmsprop,-0.27499586858272274
8,1500,relu,0.25,adam,-0.2753329198312735
8,1500,selu,0.1,adamax,-0.2764383780174394
8,1500,selu,0.05,adam,-0.27727933242162667
4,1500,relu,0.2,adam,-0.278415329108292
2,1500,elu,0.1,adam,-0.2784157725818027
32,1500,selu,0.05,rmsprop,-0.27934912664444506
8,1500,selu,0.15,rmsprop,-0.27936343709164163
4,1500,selu,0.15,rmsprop,-0.28000893970590185
4,1500,softplus,0.05,adam,-0.2802009078288421
8,1500,selu,0.2,rmsprop,-0.2805769014145532
4,1500,elu,0.05,rmsprop,-0.2817883312104794
16,1500,selu,0.2,rmsprop,-0.2849088052767616
32,1500,selu,0.15,adam,-0.28562414760423216
4,1500,selu,0.2,rmsprop,-0.28581400614766916
16,1500,relu,0.25,adam,-0.28701031287478174
4,1500,elu,0.1,adam,-0.28733961112194223
2,1500,selu,0.2,adamax,-0.2876179846674452
8,1500,elu,0.1,adam,-0.28958913449791135
2,1500,selu,0.05,adamax,-0.2897002705744371
4,1500,selu,0.1,rmsprop,-0.2897251217889174
4,1500,selu,0.1,adamax,-0.2905626506853062
16,1500,selu,0.15,adam,-0.29110974696348757
4,1500,selu,0.15,adamax,-0.29302783882480915
32,1500,relu,0.15,adamax,-0.2933066411280531
2,1500,selu,0.15,adamax,-0.29383661031613095
16,1500,selu,0.2,adam,-0.2938592230945122
2,1500,selu,0.05,rmsprop,-0.29478082400435435
16,1500,selu,0.1,rmsprop,-0.29528019462973587
32,1500,selu,0.25,rmsprop,-0.29743570909261824
16,1500,selu,0.25,adam,-0.2977663670865251
4,1500,selu,0.2,adamax,-0.2993925246710664
8,1500,elu,0.25,adam,-0.30028609338707796
32,1500,selu,0.15,rmsprop,-0.30076643115768775
16,1500,relu,0.15,adam,-0.30107854271936746
32,1500,selu,0.25,adam,-0.30220379395108665
2,1500,softplus,0.25,adam,-0.30425661658505
2,1500,selu,0.1,adamax,-0.3060359504545475
32,1500,selu,0.2,adam,-0.30657203718625625
32,1500,selu,0.1,adam,-0.3094997703166149
16,1500,selu,0.1,adam,-0.31149381804867754
4,1500,relu,0.05,adam,-0.31181318241009454
2,1500,softplus,0.1,adam,-0.3159371628573959
16,1500,selu,0.05,rmsprop,-0.3162094113326531
16,1500,selu,0.15,rmsprop,-0.3170061524583828
16,1500,selu,0.2,adamax,-0.31817161472083855
8,1500,relu,0.15,adamax,-0.3194370895592461
8,1500,elu,0.15,adam,-0.31962102473793463
4,1500,relu,0.1,adamax,-0.3239380974313175
2,1500,selu,0.25,adamax,-0.3242761548146521
16,1500,relu,0.1,adam,-0.32521758919489946
8,1500,elu,0.05,adam,-0.3272067270830565
32,1500,relu,0.05,adamax,-0.3297838793303782
8,1500,selu,0.2,adamax,-0.3300304596829685
16,1500,selu,0.05,adam,-0.3301302440365827
4,1500,selu,0.25,adamax,-0.3325261917270854
16,1500,selu,0.25,rmsprop,-0.33546196846937326
32,1500,selu,0.05,adam,-0.34177248074427574
8,1500,relu,0.1,adamax,-0.3776722387497723
8,1500,softplus,0.25,adam,-0.3984759555931256
4,1500,selu,0.05,adamax,-0.4026026563452316
32,1500,relu,0.15,rmsprop,-0.43683096186301484
16,1500,relu,0.2,adam,-0.4456643681345411
32,1500,relu,0.2,adam,-0.4526783313695703
16,1500,relu,0.05,rmsprop,-0.46829403145820225
32,1500,relu,0.25,adam,-0.6901308637602442
32,1500,relu,0.1,adam,-0.7506266332977617
8,1500,relu,0.05,adamax,-0.7585717337641222
16,1500,relu,0.1,adamax,-0.7615079903145866
16,1500,relu,0.05,adamax,-0.8680609754204842
16,1500,relu,0.05,adam,-1.0752263333023924
4,1500,relu,0.05,adamax,-1.4554739765220164
32,1500,relu,0.05,adam,-1.508786617891815
